U_wind_ms,Omega_rpm,pitch_deg,r_m,chord_m,twist_deg,a,ap,alpha_deg,cl,cd,W_ms,Np_per_m,Tp_per_m
12.0,72.0,3.0,4.391,0.42,0.96,0.14217970441242236,0.013991443647816555,13.08726150351534,1.1297844655098108,0.03664315544276633,35.11334563829275,346.0030040242648,93.93946781242023
12.0,72.0,3.0,4.696,0.389,0.85,0.18074630552581106,0.015074161076256413,11.448177717226159,1.070088778706545,0.027528954214923816,37.26105193081427,343.8452141970064,84.6125265187424
12.0,72.0,3.0,5.0,0.358,0.79,0.4683847634474098,0.026126287787088125,5.574359599224144,0.8076368965806129,0.01032751494210409,39.206532946653056,269.159987559983,40.859149088551334
13.0,72.0,3.0,1.257,0.737,22.0,0.3726984666476864,0.3070080828759655,7.590603992864093,0.9352763571480496,0.013987683838174395,15.140040885735937,82.31730583566143,50.9072554248556
13.0,72.0,3.0,1.343,0.728,18.3,0.29198680297426494,0.2500291533169097,14.722989069569682,1.188890490113172,0.04816610949959785,15.650430227895834,108.11157436101885,72.10965102559386
13.0,72.0,3.0,1.51,0.711,14.29,0.1648904467861997,0.13529106168508384,22.737805721689657,1.2571882056857837,0.0951455088960037,16.879837160561166,127.04402576950999,91.28986539577441
13.0,72.0,3.0,1.648,0.697,11.91,0.13098122929366662,0.0971028919681961,24.739157635766546,1.2571882056857837,0.0951455088960037,17.704925032093293,137.66296979243546,97.54728945864301
13.0,72.0,3.0,1.952,0.666,8.42,0.10203459917008109,0.057511538705270655,25.45088868366563,1.2571882056857837,0.09514550889600369,19.455468329205527,164.10655480586556,104.72033624512578
13.0,72.0,3.0,2.257,0.636,6.16,0.09220909012370716,0.03965357648406573,24.544628824734897,1.2571882056857835,0.0951455088960037,21.266956801366053,193.57031755287542,108.9674306878489
13.0,72.0,3.0,2.343,0.627,5.66,0.0908413271135942,0.0363227953801436,24.185749592916416,1.257188205685784,0.0951455088960037,21.791142511131547,202.0223428139509,109.77040027078858
13.0,72.0,3.0,2.562,0.605,4.66,0.08932748070015822,0.02987872369645801,23.096256953353347,1.2571882056857837,0.09514550889600369,23.15026443440234,224.2206566259512,111.44214533572664
13.0,72.0,3.0,2.867,0.574,3.42,0.09027946016052331,0.023932420972334598,21.695923377079403,1.2571882056857837,0.0951455088960037,25.09536521533423,255.43929453912108,112.5980426912477
13.0,72.0,3.0,3.172,0.543,2.49,0.09382907126268525,0.02003595267900902,20.28519922826968,1.2571882056857837,0.09514550889600369,27.09085059644019,286.4355559358467,112.5253694272863
13.0,72.0,3.0,3.476,0.512,1.83,0.09970865329625758,0.0176140031265844,18.863606476083127,1.2607652152042295,0.09016653025385589,29.125085828886263,316.7539171139219,112.80925800332567
13.0,72.0,3.0,3.781,0.482,1.4,0.10736360281639079,0.01636680115523944,17.425972395980946,1.2556331287277989,0.07330962401387862,31.212012835801822,343.078957366763,114.68992014612036
13.0,72.0,3.0,4.086,0.451,1.13,0.1166376333253979,0.01541823132919808,16.027905618454874,1.2282115069365738,0.05929504433172764,33.32392308272825,359.9529158197782,112.76067808744851
13.0,72.0,3.0,4.391,0.42,0.96,0.13181106042456672,0.015115744306667973,14.603516094774154,1.184833040952208,0.04723596334441595,35.452340919409046,368.0218121298687,107.48118392253909
13.0,72.0,3.0,4.696,0.389,0.85,0.1674812703327239,0.016397177220754587,12.887898471381416,1.1223239937177865,0.03541043988313846,37.57975183348839,365.0748207620754,97.34879390327754
13.0,72.0,3.0,5.0,0.358,0.79,0.4602621656021193,0.029822698579143034,6.454536965915015,0.8734609685150914,0.011692907978737212,39.45236410560802,294.06863558216963,49.09188420384648
14.0,72.0,3.0,1.257,0.737,22.0,0.3703097923479844,0.34358718324262627,8.912105286760971,0.9881885852909074,0.017533745874359727,15.80093141038793,93.53011058865442,60.49714152058032
14.0,72.0,3.0,1.343,0.728,18.3,0.28528079578404625,0.274598699424864,16.485342207943468,1.239181607054751,0.06363387378022675,16.330975986778967,121.10154935964295,84.31109495774182
14.0,72.0,3.0,1.51,0.711,14.29,0.15191609796112399,0.14583684915299153,25.016437897712436,1.2571882056857837,0.0951455088960037,17.639655266049726,134.66537300703047,105.13067195733859
14.0,72.0,3.0,1.648,0.697,11.91,0.12028445865103815,0.10430044153275275,26.9999617023378,1.2571882056857837,0.0951455088960037,18.438202193375364,145.012530577,111.60212047777975
